回答日時,受付番号,学籍番号,1,2,3,4,5
2023/5/2 9:01,1736998,34023285,弁護士の仕事とロースクールの先生の仕事は全然違う,やると決めたら楽しむ,好きなようにやれと言われたがいやな思いをしながら仕事をこなすこなすことはなかった,人柄で仕事を選んだ,新しい仕組みに追いつくことが大変
2023/5/2 9:00,1736990,29020425,法律,裁判,社会,弁護士と検察官,取引
2023/5/2 9:00,1736987,22020038,やると決めたら楽しむこと,ポジティブ思考でいること,物事を俯瞰的に見ること,自分で考えて行動すること,実績を得て自信をつけ信頼を得てまた実績を得るというサイクルを続けたこと
2023/5/2 8:58,1736976,37022003,やると決めたら楽しむ,一貫性を持つ,目の前の課題をこなす,実績を残す,やりたいことを見つける
2023/5/2 8:58,1736973,26020460,努力を怠らない,やると決めたら楽しむ,発想が柔軟,チャンスを活かす,やったことないことにトライ
2023/5/2 8:58,1736972,22020843,物事に取り組む時はやると決めたら楽しむ,自分で考えて自分で行動することを弁護士新人時代からやれたことが現在の活躍に繋がっている。,何か人から声をかけてもらった時には思い切って波に乗ってみる新しいことにチャレンジしてみる。,仕事に対して誠心誠意向き合う,依頼された仕事に真摯に向き合うことで周囲から信頼を得て、それを自信につなげていく。
2023/5/2 8:58,1736971,23022336,新人のときからたくさんのことを任されていた。,自分の仕事にプライドを持って働いている。,何事もやると決めたら楽しんでやる。,せっかく関学に入学したのだからさまざまなことに挑戦する。,持っている知識を人のために使う。
2023/5/2 8:58,1736969,25023266,やりたい事(小島さんの場合は弁護士)になるために集中！やると決めたらとことんポジティブに楽しむ。,高校生時代の大学選びや就職活動時期に就職先を検討せず結婚願望があった際に、周りの大人に助けられた事,弁護士事務所のボス(上司)が小島さん達に業務を丸投げし更に責任まで受け持った為、かえって必死になった,依頼者に寄り添うあまりにネガティブになってしまった経験から第三者の立場から俯瞰して物事を見る事が大切,依頼者の反応で自分の説明の善し悪しが分かる。将来を見据えたビジョンに照らし合わせて説明する。
2023/5/2 8:57,1736966,31023571,やると決めたらやる,第三者目線で全力をつくす,法律問題は決断の繰り返し,必死になって打ち込むことに疑問を持たない,きた波にはのる
2023/5/2 8:57,1736960,26023669,やると決めたらとことん楽しむことが大切。,弁護士の難しさは依頼者と同化してしまうこと。第三者の立場で俯瞰的にみる。,自分には伸びしろがまだまだあると思って満足しないことが大切。,新たな何かをつかむためにどんどん新しいことにチャレンジする。,新しい仕組みを法律的に細分化していくのが難しい時代となっている。
2023/5/2 8:56,1736956,23023446,鈍感,疑問に思わずやり通す,来た波に乗る,縁を待つ,するからには楽しむ
2023/5/2 8:54,1736945,26022082,自分で考え行動に移す,自分がちっぽけに感じる瞬間,チャンスが来たらのる,巡り合いをだいじにする,結果が周囲の信頼につながる
2023/5/2 8:52,1736932,37021414,仕事への「やりがい」,Slackなど新しい技術の「仕組み」,ロースクール,授業に対する「熱量」,授業を法律的に「細分化」する
2023/5/2 8:49,1736909,26020197,やると決めたら楽しむ。,社会に出て、人との繋がりの大切さを実感した。,来た波には、乗る。,計画は立てすぎない(司法試験の勉強を始めた時、テレビに出る時、大学教授を引き受ける時、これから),自分の能力を何のために使う？(小島先生は、他人の利益のために)
2023/5/2 8:49,1736908,29023397,365日のうちドラマでとりあげられるような場面は年に数回。,専門分野とは自分の好きなことを宣言することだ。,大学とはどんなところかを見たら大学に行きたくなる。,それぞれいろんな経験をしている分聞き合える。,将来を見据える仕事の進め方
2023/5/2 8:43,1736885,23020320,知らないことの方が興味が湧く,お金は降ってこない,自分が努力しない限り得られるものはない,一つ一つの仕事は真剣勝負,波が来たら乗る
2023/5/2 8:42,1736879,38021321,波に乗ってみる,楽しむ,相談する,やると決めたらやる,協力してもらう
2023/5/2 8:38,1736862,23022670,自分で考えて自分で行動する,知識がないから周りに教えてもらう,自分の存在がちっぽけだと大人になっても思う。それが大人の始まり。,任せてもらえるから、頑張る。,第三者目線で全体を俯瞰する
2023/5/2 8:25,1736827,25021662,自分が努力をしないかぎり、何かを得られることはない。,試験と実際の業務は異なる。,自分がちっぽけな存在だと気づく時が大人になる瞬間である。,来た波には乗る,実績に信頼が生まれて、信頼から自信が生まれ、自信からまた実績が生まれる循環がある。
2023/5/2 8:23,1736821,25023059,専門分野とは自分が好きなものを宣言するということ,やると決めたら楽しく,第三者的な視点,来た波に乗る,自分の知識を自分の利益のためだけでなく他者の利益のために活用する
2023/5/2 8:21,1736815,31020343,ちっぽけな存在と感じる。それが大人の始まりとなる。,来た波には乗る。,何か聞かれる前に自分から報告する。,目の前に来た仕事を一生懸命する。,自分の足で好奇心を持って色んなことを経験する。
2023/5/2 8:20,1736812,32022100,やると決めたら楽しむ,全体を俯瞰して将来を見据えて考える,自分で考えて自分で行動する,一つ一つの仕事は全て真剣勝負,好奇心を持っていろんな現場に自ら体験してそれを経験にする
2023/5/2 8:18,1736808,26023325,学費を払うために学生時代はバイトを頑張っていた所。勉強だけでなくバイトの経験が糧になる事が多かった。,司法試験の勉強を楽しく取り組みその結果2回目で合格する事ができた。何事もやると決めたら楽しむ姿勢。,常に時代は変わり続けていて、当時自分のプロフィールを公開するのも一部の人だけだったがそれがよかった。,新しい事が好きな人で相手から来た波には乗るようなたくましい人でした。,しんどさとかを忘れるぐらいまで夢中になって仕事に取り組む姿勢。
2023/5/2 8:15,1736804,23022516,やると決めたら楽しむ,波に乗る,不安にさせるのは情報の説明不足,弁護士の仕事は第三者的に見ること,基本的に断らない
