担当教員,学籍番号,1,2,3,4,5, ,採点欄,備考欄,コピペ群,重複ワード,類似度,参考情報, ,NGワード数,NGワード一覧,再履修
森,21020020,仕事をする上で、自分の役割はそこでは何なのかを理解し、行動することが大事である。,人の役に立とうと、というがむしゃらな思いと行動、さらに過去の繋がりが次のキャリアに繋がる。,感じる力を鍛える。例えば美術館、職人の物作り。ロジカルなものではなく人の想いがあるものに触れる。、,失敗も経験。好きなことをして、若い時にたくさんの失敗をする。そして心の声を聞くことが重要である。,仕事を任され続けるということは、実績を出して、信頼され、成果を出し続けたということである。, , , ,,,, , ,0,, 
森,21020031,人生はすごろく,不確定な物事に対する対応力が日本人には欠けている,ブームで終わらせず文化にしていく,一歩踏み出す勇気の大切さ,感じる力を養うためには多くの経験が必要, , , ,,,, , ,0,, 
森,21021009,国の違いを聞き入れる,ストーリーとコンテクストを考慮する人とつきあう,ほめる,人生はすごろく,心の声を聞く, , , ,,,, , ,0,, 
森,21021014,ブランドをブームから文化にしていく。,関学のいいところは横と縦の繋がり。,「任され続ける」というのは実績を残してきたことで、信頼されているということ。,意見は聞くが、本質的なことを反映できなくても部分的に反映させて、すり合わせていく。,自分が好きだと思うことをやり続けて、自分の適性を見つける。, , , ,,,, , ,0,,再履修
森,21021017,ゼロいち,ブームから文化へ,広報の力,失敗は経験,心の声を聴く, , , ,,,, , ,0,, 
森,21021050,アルバイトの経験を通して自己分析や自分の適正を学んだ,「ブームから文化へ」を意識してマネジメントを行った,マネジメントにおいて「褒めてしっかり評価すること」「他の国の文化を受け入れること」が大切である,仕事で信頼されて任されることが嬉しかったことであり、やり甲斐であった,頭でロジカルに考えた時の判断は鈍る, , , ,,,, , ,0,, 
森,21022011,当時は繋がっていなくても繋がっていること。,人から頼られるのは嬉しいという積み重ねが大事。,転職は全くネガティブなことではないし自分で責任を取らないといけない。,目の前にあることをしっかり成し遂げることが大切。,頭でっかちにならずどんどん挑戦していくことが大切。, , , ,,,, , ,0,, 
森,21022031,ブランド名の価値を守ること,外国の文化を受け入れながら自軸をずらさないこと,交流関係には尊敬が欠かせないこと,難しい物事には簡単な質問から論理的に捉えることも大切である,突発的なブームではなく街や生活に寄り添った考え方が大切だ, , , ,,,, , ,0,, 
森,21023001,アルバイトではどういう人と働くかの大切さを学んだ,言われたものは100で返したい,失敗したほうがいいときもある,人生は進むもよし、戻るのもよしですごろく,自分の空間環境でどのように感じているを共有することが大切, , , ,,,, , ,0,, 
森,21023003,チーム作り、どういう人と働くかの大切さをアルバイトをとうして学んだ,毎日大変でもやりがいを感じる,人から必要とされると嬉しい,壁にぶち当たりながらいろんな人にお世話になって乗り越えてきた,人生はすごろく, , , ,,,, , ,0,, 
森,21023005,どんな人と関わり働くかの大切さはアルバイトで学び、興味を持てる分野が出てくる可能性がある。,壁にぶつかっても、様々な方が助けてくれる。,必要とされたら100%でこたえる。,人生は進むもよし、戻るもよし。,関学での繋がりは財産である。, , , ,,,, , ,0,, 
森,21023011,ブームから文化にする,選択した責任も自分でとればいい,頭で考えるのではなくて心の声を聞く,頭で考えたときの判断は鈍る,言われたら１００返す, , , ,,,, , ,0,, 
森,21023013,まかされ続けるということはその仕事に対して誠意をもって実績を出し、信頼され続けているということ。,国によって何を大事にするか、お客様がどう受け取るか違うので国による違いを聞き入れる。,ブームから文化へ。文化にするにはお客様に来ていただけるお店にしなければいけない。,人と人とのつながりを大切にすることによって社会に出てからもつながる。,失敗は経験なので頭の中で考えすぎず、心の声を聞いて行動する。, , , ,,,, , ,0,, 
森,21023014,褒めるのは日本と違う文化,転職に際し、繋がりが大切,ローカルの意見をどこまで意識して受け入れるかを大切に,ブームから文化にしていくことが大切,頭で考えた判断は鈍るから、心の声を聞く, , , ,,,, , ,0,, 
森,21023020,大学以外バイトなどでの経験も大切。,失敗することも非常に重要,様々な人とのつながりの重要性,カフェを一時的なブームとするのではなく文化として地域に根付かせる大切さ。,会社の大切にしてきたことを守る大切さ。, , , ,,,, , ,0,, 
森,21023021,色々なアルバイトを通して自分の職業適性に気づく,色々な会社に就職したが、どんな会社でも新規事業を任され続ける,海外に行ったさいは、文化の違いに気づけるようにする,分からないことは積極的に人に聞き、自分なりに理解する,関学のキャンパスライフで打ち込めることをやり、次のキャリアにつなげる, , , ,,,, , ,0,, 
森,21023022,お客さま、トレンドを常に意識しながら物事を前に進める,自分の空間環境でどのように感じているかを共有することが大切,人生はすごろく進むもよしもどるもよし,全部の体験がブランドにつながっている,チーム作りどういう人と働くかの大切さをアルバイトを通して学んだ, , , ,,,, , ,0,, 
森,21023026,若い時に失敗しておくこと,仲間との深い関係性をつくることが大切だということ,一歩踏み出す勇気が大切だということ,心の声を聞いて好きだと思うことをこなしてみること,学生の間にいろんな経験をすることが大切, , , ,,,, , ,0,, 
森,21023027,ブランドとしてやるべきことと働く人のニーズのバランスを保ちながら国の違いを聞き入れ受け入れる。,ピラミッド的にキャリアを考えると動けなくなる上に不安定だから人生はすごろくだと思って動く。,ブームから文化にしていくという気持ちで会社の世界観を大事にしながら客のニーズと繋げていく。,頭で考えたときの判断は鈍るものだからどんどん失敗していいしこの人と働きたいという気持ちを大事にする。,縦軸で深掘ることのできる自信がなかったら横軸で考えてかじってみてやりたいことを見つける。, , , ,,,, , ,0,, 
森,21023028,人から必要とされることは嬉しいこと。,縦か横かの問題で、横ならできるかも。,地元の人たちを優先する。,ブームから文化へ。,人生はすごろく。, , , ,,,, , ,0,, 
森,21023029,海外コネクションに興味を持ち、幅広く学べる総合政策学部を志望し、やりたいことを見つけようとした。,学生時代にアルバイトと旅行を沢山した経験から人事に興味を持つように。働く人の大切さも学んだ。,卒業後、転職を繰り返したが、毎回ほぼゼロからの仕事は大変。だが、やりがいを感じていた。,大切にしていることは、良いことは皆の前で褒める、国の違いを受け入れる、自分感じ方を共有すること。,人生はすごろくで、進んでも戻っても良い。失敗した方がいいこともある。, , , ,,,, , ,0,, 
