"回答日時","受付番号","回答ユーザ","第８回:キーワード①","第８回:キーワード②","第８回:キーワード③","第８回:キーワード④","第８回:キーワード⑤"
"2022/06/09 17:08","6562","31021576","自分と職業のタイプが相性があっているのか見極める","考えても分からないことはやると決めたらやる","マネジメントにおいてやっていることを見ていることを知ってもらうことが大事","国のニーズの違いをよく聞き柔軟に対応、実践する","ブランドと国々のニーズをどうブランドに繋がるようにするかが大事"
"2022/06/09 17:00","6561","24022596","バイトをすること","成果を果たすこと","何事にも頑張ること","勉強を頑張ること","海外で積極的にしようとすること"
"2022/06/09 17:00","6560","23021133","バイトを通して自分を知る","自分で開拓する","任されるということは信頼されているということ","頼られることでやりがいを感じる","0からはじめる"
"2022/06/09 17:00","6559","23021308","海外旅行は自分への投資の一つ","ゼロから立ち上げることの達成感","何をしたいかわからないときは選択肢が多いところ","自分の興味のあることにいっぱい手を出す","バイトも大切！"
"2022/06/09 16:59","6558","22019049","日本人には不確定な状況に対する耐性がない人が多い。","学生のうちにたくさんの経験をする。","失敗してもいいから前にすすむ。挑戦することで人生に深みが出る。","好きなことにどんどんチャレンジする。","頭で考えるのではなく、自分の心の声を聞く。"
"2022/06/09 16:59","6557","25022200","アルバイトを通して自分の適性を見つけていく","信頼されると重要な仕事を任せてもらえる","国の違いを理解してその国での仕事のやり方を少し変える","アルバイトや転職の経験が今の自分を支えている","失敗をしながら成長していく"
"2022/06/09 16:59","6556","24020009","ほめること","チームワークが大事","敵意を作らない","人生はすごろく","自分がどう感じるか共有すること"
"2022/06/09 16:59","6555","38021081","自分にあったものを探す","やるって決めたらやる","色んな経験をつむ","０から１を立ち上げる","学校生活たのしむ"
"2022/06/09 16:59","6554","25021467","PRの仕方","異国を学ぶこと","意欲","努力の大切さ","マーケティングの勉強"
"2022/06/09 16:59","6553","22021048","目標のための貯金","留学は自分を豊かにする","ニーズを満たす思考","知識を仕入れる","文化を交流する"
"2022/06/09 16:59","6552","24022754","アルバイトでのいろんな経験を通して自己分析する","任される→やる→達成する→また任されるというのがやりがいだった","人から必要とされることの積み重ねがうれしい","言われたことには１００％で返したい、期待にこたえたいという気持ちが強い","人生はすごろくだから一回休むのも３歩戻るのも振出しに戻るのもそれによって深みが出るからよい"
"2022/06/09 16:59","6551","31022388","アルバイトで自分の適正を知る","ブームから文化へ","0から1を作る","やりながら学ぶ姿勢","打ち込めることを見つけること"
"2022/06/09 16:59","6550","25021070","アルバイトを通して自分が何なのかを知る","興味のある分野を軸にして将来を考えてみる","何でもどんどんする","実績や誠意を見せ続けなければ挑戦をさせてくれない","様々な所や現地の人のもとに実際に訪れ生の知見を手に入れる"
"2022/06/09 16:59","6549","25022250","今の自分に繋がってるキーワードをもつ","実績を出し続けることで信頼される","ブランドはブームを作る","どういう人と働くか","適性を知る"
"2022/06/09 16:59","6548","25019159","ブルーボトルコーヒー","マルチカルチャー　","転職","ローカルの意見","キャリア"
"2022/06/09 16:59","6547","37022229","やるって決めたらやる","転職で過去の会社の繋がりが生きる","人生はスゴロク","好きだと思うことにどんどんトライする","心の声を聞く"
"2022/06/09 16:58","6546","29022316","マルチカルチャーの人たちと関わるときは褒めることを意識する。","いろんな職業を経験して自分の適性に合うものを見つける。","「暮らすように旅する」","自分の考えを声に出してみんなに共有することは大事。","自分たちがやってきたことを信じることで文化が育つ。"
"2022/06/09 16:58","6545","36021024","さービス精神旺盛","適性を見つける","色々なことに挑戦してみる","人間性を磨く（人間だからこそ）","失敗は経験"
"2022/06/09 16:58","6544","25020420","期待に応えたいという気持ちを持つ","自分の役割や関わることが持つインパクトを考える","学内に深い関係性を持つ友人を作る","好きだと思うことにトライする","心の声を聞く"
"2022/06/09 16:58","6543","24020867","夢を叶えるお手伝い","過去が繋がって今に","完成を研ぎ澄ますためには経験","人生はすごろく","決めたことはやる"
"2022/06/09 16:58","6542","34020306","自分を知る","物事をする前に軸とするキーワードを決める","迷っても前に進むことが大事","違うネットワークを作る","先ずは好きなことに挑戦していく"
"2022/06/09 16:58","6541","31022019","ローカルの意見をどこまでリスペクトして聞き入れるかを意識する","ブランドとしてやることと社員のニーズをどう汲み取るかを意識する","ブームから文化にするということはまずは地元の人から愛されることが必要","自分のキャリア又は人生は縦に積むのではなく前に進むことが大事","文化が違っても自分がその環境や空間で感じたことを共有することはとても重要"
"2022/06/09 16:58","6540","25022672","学生時代から色々な経験をする","人生をすごろくと思う","目の前にあることを成し遂げて行く","失敗を恐れない","心の声を聞く"
"2022/06/09 16:57","6539","38022549","マルチカルチャーの中で褒めるのが大事","マルチカルチャーの中ではフィードバックが多い","人から必要とされることがやりがい","国によってマネジメントの仕方が違う","ローカルの意見をよく聞く、よく吟味する"
"2022/06/09 16:57","6538","22020312","良いところを見つけて褒める","人との繋がりを大切にする","決断は早く","失敗を恐れない","頭ごなしに否定しない"
"2022/06/09 16:57","6535","25022222","マルチカルチャーの中で働くのは刺激が多い","褒めることの大切さ","チーム作りや、どういう人と働くかが大切","任されるということが信頼されているということだからやらないを感じる","目的と違う部署に配属されることが多くある"
"2022/06/09 16:57","6534","29021274","コネクションは縦よりも横に広がるべき","何をしたいか、どうするかを考える機会を多くもっていた","自分に対する期待に応えたいというやりがいや使命感","企業・アイデアの生み出し方との向き合い方","マネージメントにおけるレコグニション"
"2022/06/09 16:57","6533","29022339","人から求められると嬉しい気持ちになる。","やりがいを見つけることが大事。","0から1にする行動が大切。","知らないからこそ、学んで、打ち込むことを探す。","努力し続ける事が大切。"
"2022/06/09 16:57","6532","34020063","色々なバイト経験を通して、適正を見つける","積極的に教えてもらう姿勢を持つ","実績を出し、信頼してもらう","ぜろから１へ","ブームから文化へ"
"2022/06/09 16:57","6531","22022331","誠意を持って取り組む","お客さんの理解","人のために","主体的に動かす","人との繋がり"
"2022/06/09 16:56","6529","22019561","学生生活における目標の設定","人との繋がりが大事","高め合う","上を見る","したいことを見つける"
"2022/06/09 16:56","6528","27020544","それまでの人とのつながりを大切にする","現地のスタッフと会話から、意見を取り入れる","失敗してもその経験が大事","決めたらやる","大学時代のつながりが財産の一つになっている"
"2022/06/09 16:56","6527","22021816","0から1を作るのは難しい","マネジメントにおいて、褒めることが大切","流行にしてはいけない","好きなことにはどんどんチャレンジする","頭で考えすぎないようにする"
"2022/06/09 16:56","6526","24020815","人を支えることが性に合っていた","サービス精神が旺盛","人から必要とされることが仕事のやりがい","任されるのは信頼されているということ","事業を作るのはすごく大変なこと"
"2022/06/09 16:56","6525","31022346","学生時代に徐々に自分の適性に気づいていった","今の子達は不確定な状況に対する耐性が弱い","期待に応えたいという気持ちを持ちながら日々仕事をしている","自分の感性を信じていろんな経験をする","個性があっていいし間違いもないし、みんなに共有することって大事"
"2022/06/09 16:56","6524","22019781","ブルーボトルコーヒー","秘書代行","アメリカ代行で世界を見る","フルーティーなコーヒー","アメリカで立ち上がっている事業を日本へ"
"2022/06/09 16:56","6523","23021448","人生はすごろく","関学は繋がりが多い","失敗は経験","心の声を聴く","頭で考えたときの判断は鈍る"
