回答日時,受付番号,回答ユーザ,第８回:キーワード①,第８回:キーワード②,第８回:キーワード③,第８回:キーワード④,第８回:キーワード⑤
2022/11/14 17:02,3264,25020251,言われたら100返したい気持ちを常に持っていた。,色んな壁にぶち当たりながらサポートしていただいてやってきた。,信頼されないと任され続けることはない,学生時代はいっぱい経験を磨いていく。,人生はすごろくだから休んでもいいし、戻ってもいい。
2022/11/14 17:01,3263,29022062,自分のまわりの環境を活かし、様々な経験をして自分の適性を知る。,信頼を得るためにも、 まずは実績を積む必要がある。,物事の本質をくみ取れれば、より良い顧客のニーズに応えることができる。,学部の仲間が未来の財産となる。,アルバイトなど今できることから打ち込める物事を探してみる。 それが自分の将来の適性につながる。
2022/11/14 17:00,3262,23022580,継続,目標,大学卒業,人間関係,学業
2022/11/14 17:00,3261,26022617,縦じゃなくて前に進むことが大切,失敗した方がいい,敵を作らない,ブームから文化を作る,目の前にあることを成し遂げていく
2022/11/14 16:59,3260,34021221,様々なアルバイトを人生経験として挑戦すること。,社員を褒めて伸ばす。,日本の取締,いろんな国に旅行すること。,０から１を立ち上げることは大変だがそれを楽しんでいる。
2022/11/14 16:59,3259,23021266,達成することに意味がある。,任されることは頼られて信頼されていること。,自分の考えと相手のニーズを共有することが大切。,場所によって適宜考え行動する。,現地に行き肌で感じることが大事。
2022/11/14 16:59,3258,22021137,強い思いがあってすべてができている,自分の適性に気づく,人事部署にいきたい,秘書のアルバイトをする,速めに戦線離脱も大切かもしれない
2022/11/14 16:59,3257,37022433,自分の適正に気づく,任され続けるには信頼が必要,ブームから文化へ,顧客のニーズを合わせる,仲間と深い関係を作る
2022/11/14 16:59,3256,25022312,様々なことにチャレンジ,自分の感性を信じる,誠意を持つ,いろんな経験,すべてはつながっている
2022/11/14 16:59,3254,24022231,楽しませる,人のためになにかする,勉強,主体性,笑い飯
2022/11/14 16:59,3253,26022375,いろんな所へいく,ブームから文化への移行,自分の適性をみつける,打ち込めることをみつける,ゼロから1をつくる
2022/11/14 16:59,3252,23021508,チーフブランドオフィサーとはブランド全体を統括する役割で、例えば大々的に出すイメージだったり店のコンセプトを決めたりする。,ブランドの作り方や大事にすることをしっかり守りながら育てていくということは仕事の中で学ぶことが多い。,自分の興味が分からなくてもいろいろな授業で興味に繋がっていった。,ピラミッド的にキャリアを考えると自分が動けなくなるから失敗は恐れてはいけない。,繋がりがとても大事
2022/11/14 16:59,3251,23021189,ブームから文化は変わる,自分の適性を見つける,今打ち込めることをやる,新人の頃に働く,信頼されることは大事
2022/11/14 16:59,3250,26021167,アルバイトで自己分析する,任される＝信頼されている,自分の適性を考える,信頼されないと仕事は任され続けない,任されるのには実績がいる
2022/11/14 16:59,3249,23021362,後発の会社はお客さんを得るためにブランディングが必要,0から1の立ち上げを専門に転職を重ねた 任され続けるのは成果を出し続けていった,考えてもわからないし自分がやるかやらないかしかない,チームマネジメントのベースは「見てるよ」を伝えること(皆の前で褒める),国によって異なる、ローカルの意見をどこまでリスペクトして聞き入れるか
2022/11/14 16:58,3248,25022574,人から必要とされることは嬉しい,打ち込めることをさがす,色んな経験をすることで自分を知るべき,結果が全てではない,自分がその環境でどう感じるかを共感することが大切
2022/11/14 16:58,3247,23020146,色んな国籍の人と話す際は、褒めることを意識する。,チームを作りや、どんな人と働くかが重要,若い頃に怒られた経験が今に生きている,目の前のことを確実に成し遂げる,失敗しても経験になるから、好きなことに挑戦すること。
2022/11/14 16:58,3246,24021203,学生時代に自分の適正に気づけた,今までなかった事業を立ち上げることを任され続ける,ブルーボトルが大切にしていること歴史などを理解する,ブランドはブームを作る,ブームから文化を作る
2022/11/14 16:58,3244,31021541,自分の適正に気付くことの大切さ,アルバイトを通して自分を知る,実績をもって、誠意をもって、信頼されないと任され続けない,0から1を立ち上げることの楽しさ,何か打ち込めることを見つける
2022/11/14 16:58,3243,26021468,チーフブランドオフィサー,部下を頻繁に褒める文化は重要なはずだが、日本では軽視されている,職業に対する自分の適性は、学業だけでなくアルバイトから見つかることもある,ブームを文化にすることが周囲の人や地域を巻き込む力につながる,目の前にあることをしっかりこなしていくことがいつか他人への奉仕につながる
2022/11/14 16:58,3242,24021110,今の経験がのちに役立つ,小さなことの積み重ね,周りに頼る,小さな目標を立てる,些細なことでも社会貢献になる
2022/11/14 16:57,3241,25021380,自分の適性を知る。色々なアルバイトをしたり、やってみたいことをしたりする。,簡単なことではないけど好きを極めること。,仕事に誠意を持ち続ける。成果を出さなければ仕事を貰い続けられない。,ブームから文化へ,学び続けること。
2022/11/14 16:57,3240,32021004,縦で見るのではなく、横で見る,アルバイトを通して、自分を知る,不確定なことに対する耐性,若いときにたくさん失敗する,一緒に働きたいと思ってもらえるような人になること
2022/11/14 16:57,3239,22021212,動画視聴リンクが開けません黒い画面のままフリーズし、アプリが落ちます。先生への連絡手段が見当たらなかったため、アンケートに書かせて頂きました。御対応よろしくお願い致します。,。,。,。,。
2022/11/14 16:57,3238,23022355,やるかやらないかは自分で決める。 やると決めたら最後までやり遂げる。,不確定な状況に置かれても勇気を出して一歩踏み出す,知らないこと（知識）に対しては積極的に聞き、行動し、様々なところへ出向き様々な知識を収穫する,「ブームから文化へ」を意識することでその土地の文化が変わっていく。,常に目の前にあることをしっかりと成し遂げていく
2022/11/14 16:57,3236,25020430,相手をよく見て褒める,トレンドを押さえる,任せられ続けるということは信頼されているということ,本質的なニーズを満たせるようにする,上にではなく前に進む
2022/11/14 16:57,3233,23022530,アルバイト,適性,信頼,成果,学び続ける
