"回答日時","受付番号","回答ユーザ","第2回:キーワード①","第2回:キーワード②","第2回:キーワード③","第2回:キーワード④","第2回:キーワード⑤"
"2022/10/03 17:30","3292","25022398","ユダヤ人","会話","対話","ファイナンス","マスタリーオアサービス"
"2022/10/03 17:02","3291","24021306","情報を見過ごさずきちんとチェックする","忙しくなると周りが見えなくなることを自覚する","会話、対話する能力をつける","向き合うことで新たな発見がある","悪いことがあっても次につながると前向きに捉える"
"2022/10/03 17:00","3290","23021310","欠点の改善","色んなことをグローバルに","忙しいことを自覚する","英語能力を養う","簡単なルーティン"
"2022/10/03 16:59","3289","25021007","真剣に取り組む","日々の努力を忘れない","大学生活を楽しむ","周りを大切にする","楽しんで生活する"
"2022/10/03 16:59","3288","24020835","思いやり","人","存在感","商売","奉仕"
"2022/10/03 16:59","3287","29022075","何か物事に詰まってもすぐ新たに行動する","背景が違う人と言葉を交わす能力","自覚することの重要性","自分の成長の気づく楽しさ","商社で働くにおいて能力の面で全ての人が同じ"
"2022/10/03 16:59","3286","23021341","自分に興味のないことの中に将来宝になるような情報がある","自分の価値観に合った仕事を選ぶ","忙しくなって周りが見えなくなってしまうことを自覚することが大事","あんまりくよくよせずに行動する","好きなことに没頭する"
"2022/10/03 16:59","3285","23021555","横断的","商売人としてのセンス","ゼミ","トレード","商社の仕事"
"2022/10/03 16:59","3284","23022092","海外で様々なことに挑戦する","心の余裕","周りの人が見れているか","マネージメント","前向きな塞翁が馬"
"2022/10/03 16:59","3283","25022616","商社は人材育成が手厚い","心の余裕を持つことが大切","悩みすぎない","自分のことを知り、相手のことを知る","大学からの情報をきちんと得ることは自分の役に立つ"
"2022/10/03 16:58","3282","25021632","塞翁が馬","リフレッシュ方法","マスタリーフォーサービス","日本人は少数派","自分を客観的に見る"
"2022/10/03 16:58","3281","26020237","前向きな塞翁が馬","バックグラウンドが異なっても、対話から信頼が生まれる","心の余裕がなくなってくると危険","スクールモットーが最大の学び","嫌なことは長く続かず、それがいつか力になる"
"2022/10/03 16:58","3280","31021553","自分に必要な情報をキャッチする能力をつける","自分を客観視し、自分の短所を理解しておく","仕事で必要なのは会話ではなく対話","前向きな塞翁が馬という考え方","嫌なことでも自分のスパイスと考える"
"2022/10/03 16:58","3279","39022080","自分が興味のないことの中に自分にとって将来宝になるようなことがある","忙しくなると周りが見えなくなることを自覚する","忙しいとは心をなくすこと","対話とは背景が違う人と言葉を交わす行為、対話が必要","あんまりくよくよしすぎない"
"2022/10/03 16:57","3278","25021510","大学は3年間で卒業できる","大学からの情報発信をキャッチする","知るカフェと提携した","忙しくても、それを強調しない","机を綺麗にする"
"2022/10/03 16:57","3277","26021227","たくさんの情報の中から必要なものをキャッチする","未来にとって宝となるような情報を見つける","自覚するかしないかが人間の差に出る","くよくよしすぎない","悩みの沼から抜け出す方法を見つける"
"2022/10/03 16:57","3276","29021305","忙しさとの向き合い方","宗教観","臨機応変","対話","信頼を得る"
"2022/10/03 16:57","3275","25021172","商社は人材育成が手厚い","大学から情報をきちんと得ることは自分の役に立つ","心の余裕を持つことが大事","悩みすぎないことが大切","商社は社会のためにならないと続かない"
"2022/10/03 16:56","3273","31020528","伊藤忠商事は若くから仕事を任せてもらえる","商社は全体を見ながら商売ができる","社会学部出身","海外をまわりながら仕事をしたのが印象的","多くの人と対話できる能力が大切"
"2022/10/03 16:56","3272","22022774","持続する","自覚し、相手を見る","人間万事塞翁が馬","前を向く","情報収集"
"2022/10/03 16:55","3271","31020502","専門的なスキルを身につけ、深堀した経験を活かしてビジネスを創りあげる","社会経験を積んで暗黙知を獲得すること","身体の余裕よりも心の余裕を保つことの方が重要である","自分なりの気分転換の方法を確立しておくこと","物事は何が良くて何が悪いかは分からないのだから、反省して次に切り替えることが大事"
"2022/10/03 16:55","3270","24020449","自分の興味のない情報でも、自分にとって宝となるような情報が有る。","忙しい中でも、心の余裕だけは持っておく事が重要。","自分のことを外の目をもって自覚する。","くよくよせず前向きにすぐ切り替える。","言葉でなく心と心の交流。"
"2022/10/03 16:54","3269","23021336","決められた道を進むのではなく、飛び級制度を利用して3年で大学を卒業し、大学院に進学する。","見過ごしがちな情報があたくさんあり、そう言った情報が人生を変えるきっかけになることがある。","ファイナンス","忙しくなり、、周りが見えなくなりがち。と自覚する。","忙しい人と仕事したくない。"
"2022/10/03 16:54","3268","23022179","カナダ留学などの国際経験の豊かさが内定の鍵になった","自分が忙しい時ほど視野を広げてみる","関学のkwicなどから情報をしっかりキャッチすることで将来に繋がる","英語の勉強の重要性","会話と対話の違いを理解"
"2022/10/03 16:54","3267","23021231","何か自分の為になる情報があるかもと情報をキャッチする力を身につけるべき。","心の余裕をなくしていくことが良くない。 体の余裕より心の余裕を保つべき。","気分転換の方法や自分を回復させる方法を知っておくべき。","物事は何が良くて何が悪いか分からない。 だからくよくよせずに、反省をして次に切り替える。","人間万事塞翁が馬。"
